Date,Close,High,Low,Open,Volume,Prev_Close,Daily_Return,MA20,MA50
2020-01-01,619.7403564453125,622.3897387047475,616.123777690043,618.1844026324181,2112415,,,,
2020-01-02,617.9320068359375,623.0624955971197,614.7359621321849,621.4644989125743,5658200,619.7403564453125,-0.29179148825280243,,
2020-01-03,627.43603515625,629.11816929876,617.2591441279282,617.2591441279282,7882938,617.9320068359375,1.5380378771730856,,
2020-01-06,621.4224853515625,633.9964503630143,619.4459979490006,627.5202226022485,6519403,627.43603515625,-0.9584323289926996,,
2020-01-07,612.212890625,624.5765385122552,609.8578611848823,620.7076495772147,7899363,621.4224853515625,-1.4820182635252215,,
2020-01-08,604.0543212890625,613.1378344961485,595.7277375706849,609.7315234603232,8639443,612.212890625,-1.332635993274909,,
2020-01-09,611.9183349609375,615.2405601459508,600.7741963116773,606.9981131477696,13521186,604.0543212890625,1.301871933486554,,
2020-01-10,620.8336791992188,624.8287477877989,614.3994955700625,622.7681231962308,9341405,611.9183349609375,1.45695000932606,,
2020-01-13,650.607421875,653.9296470691644,635.0056379899925,639.2109733409196,36952038,620.8336791992188,4.79576796062109,,
2020-01-14,652.373779296875,653.4671563649406,645.2667513524486,647.5796860995617,11414418,650.607421875,0.2714935862220101,,
2020-01-15,645.5611572265625,650.8598706326255,641.0194248790817,650.8598706326255,6047430,652.373779296875,-1.0442820184549888,,
2020-01-16,645.0985107421875,649.7243801151758,639.4213074207928,648.2104694964037,5740586,645.5611572265625,-0.07166578707470657,,
2020-01-17,645.8134765625,650.0609073031379,641.10352042939,648.2105490598905,3762957,645.0985107421875,0.11083048688020221,,
2020-01-20,646.3179931640625,651.3223524429509,641.6921243294809,648.9673236048908,3887680,645.8134765625,0.07812110150564106,,
2020-01-21,641.3136596679688,648.0421964251409,639.8417922523373,646.3180191480478,4448374,646.3179931640625,-0.7742834872343468,,
2020-01-22,647.7899169921875,654.3502303716543,644.2574247618087,646.3180495074183,9733935,641.3136596679688,1.0098424112113475,,
2020-01-23,659.6910400390625,660.658287856233,653.2569067378898,653.5933028182379,12528017,647.7899169921875,1.837188683351879,,
2020-01-24,658.3453979492188,661.4994001751013,650.6496119841967,652.4579271275713,7540490,659.6910400390625,-0.20398065278619976,,
2020-01-27,654.434326171875,660.0694863204792,651.3224187974897,655.2333502280002,3741610,658.3453979492188,-0.5940759652193133,,
2020-01-28,654.3501586914062,657.5462031841498,649.3037564392874,656.8733598174657,5121009,654.434326171875,-0.012861104178487877,636.8623474121093,
2020-01-29,664.190673828125,666.7979612049103,659.606848040858,661.5833351166798,6832757,654.3501586914062,1.5038607396990897,639.08486328125,
2020-01-30,656.6210327148438,664.1906358940819,654.350141494141,664.1906358940819,3859680,664.190673828125,-1.139678922266842,641.0193145751953,
2020-01-31,652.6260375976562,660.195641626236,648.9673648497117,656.4949257895097,6092028,656.6210327148438,-0.6084171718761314,642.2788146972656,
2020-02-03,645.4349975585938,665.2421200893305,642.995882115459,657.714558292072,6416745,652.6260375976562,-1.1018622648788299,643.4794403076172,
2020-02-04,662.6347045898438,664.3589332396054,647.7057633307895,647.7057633307895,5771311,645.4349975585938,2.6648240483254213,646.0005310058593,
2020-02-05,659.8592529296875,661.0788106207942,651.3224517612754,656.8734746753693,6310409,662.6347045898438,-0.418850935656048,648.7907775878906,
2020-02-06,648.757080078125,661.7515769003892,647.6216600391936,659.690952260605,7341622,659.8592529296875,-1.6825062014771068,650.63271484375,
2020-02-07,653.7614135742188,655.0650572465045,648.4627013785246,652.6259935803769,2853344,648.757080078125,0.7713724674096991,652.2791015625,
2020-02-10,650.3130493164062,654.3501608645773,647.4113577448694,650.985892685325,3827682,653.7614135742188,-0.5274652474455075,652.2643829345703,
2020-02-11,650.607421875,655.275333847597,646.9488006535574,655.1912476744426,4312817,650.3130493164062,0.045266285045823314,652.1760650634766,
2020-02-12,656.91552734375,658.7658854536431,651.9111672288124,652.4999245366876,2948825,650.607421875,0.969571704326786,652.743783569336,
2020-02-13,666.3353271484375,667.807194390482,657.8826141110558,660.2375914313959,4387430,656.91552734375,1.4339438500984494,653.8056243896484,
2020-02-14,661.4572143554688,672.1808196096221,659.9012094589717,668.2277940725314,5321680,666.3353271484375,-0.7320807698797077,654.5878112792968,
2020-02-17,663.98046875,667.3447373343718,658.8078852676626,664.6953552903132,2929629,661.4572143554688,0.38146902623020557,655.4709350585938,
2020-02-18,670.877197265625,672.0546604125798,659.102257788104,660.2376778467144,5083346,663.98046875,1.0386944857894211,656.9491119384766,
2020-02-19,673.232177734375,676.9328422135535,669.6155994322401,672.8536872683541,3985192,670.877197265625,0.3510300362493281,658.221224975586,
2020-02-20,670.3306274414062,677.984319215839,667.6812449546632,675.5872979828225,4564569,673.232177734375,-0.430988058641719,658.7532043457031,
2020-02-24,669.3632202148438,682.6100268263813,666.2513130627193,672.9377553322428,6627536,670.3306274414062,-0.14431792118092668,659.3040954589844,
2020-02-25,671.5081176757812,677.9002082870512,668.9849159079635,672.0127374954762,6996695,669.3632202148438,0.3204384997802924,660.1577850341797,
2020-02-26,658.3453979492188,674.0733659825542,656.4529966136893,667.765361530789,8760569,671.5081176757812,-1.9601728378386851,660.3575469970704,
2020-02-27,654.2240600585938,656.6631753198726,649.4720614766744,654.3502406645673,5223386,658.3453979492188,-0.6260145363608812,659.8592163085938,
